"modifier_code","name","kana","category","valid_from","valid_to","change_type","raw_record"
"","１８週","１８シュウ","0","","27000048","0","IjAiLCJaIiwiNzA5MCIsIiIsIiIsIjMiLCLvvJHvvJjpgLEiLCIiLCI1Iiwi77yR77yY44K344Ol44KmIiwiIiwiMCIsIjAiLCIyMDAzMDQwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDAwNDgiLCI1MzM4IiwiQTcwMDAwMDAi"
"","１９型","１９ガタ","0","","27002127","0","IjAiLCJaIiwiODE2NSIsIiIsIiIsIjMiLCLvvJHvvJnlnosiLCIiLCI0Iiwi77yR77yZ44Ks44K/IiwiIiwiMCIsIjAiLCIyMDE1MDMwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDIxMjciLCI2SjE1IiwiQTgwMDAwMDAi"
"","１９週","１９シュウ","0","","27000049","0","IjAiLCJaIiwiNzA5MSIsIiIsIiIsIjMiLCLvvJHvvJnpgLEiLCIiLCI1Iiwi77yR77yZ44K344Ol44KmIiwiIiwiMCIsIjAiLCIyMDAzMDQwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDAwNDkiLCI1MzM5IiwiQTcwMDAwMDAi"
"","・１９週","１９シュウ","0","","27001902","0","IjAiLCJaIiwiODA5NyIsIiIsIiIsIjQiLCLjg7vvvJHvvJnpgLEiLCIiLCI1Iiwi77yR77yZ44K344Ol44KmIiwiIiwiMCIsIjAiLCIyMDA4MDEwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDE5MDIiLCI5SzM4IiwiQTgwMDAwMDAi"
"","１Ａ型","１Ａガタ","0","","27002204","0","IjAiLCJaIiwiODIwNSIsIiIsIiIsIjMiLCLvvJHvvKHlnosiLCIiLCI0Iiwi77yR77yh44Ks44K/IiwiIiwiMCIsIjAiLCIyMDE4MDEwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDIyMDQiLCIwUFM4IiwiQTgwMDAwMDAi"
"","ＩＡ期","１Ａキ","0","20170601","27002180","0","IjAiLCJaIiwiODE5MCIsIiIsIiIsIjMiLCLvvKnvvKHmnJ8iLCIiLCIzIiwi77yR77yh44KtIiwiIiwiMCIsIjAiLCIyMDE2MDYwMSIsIjIwMTcwNjAxIiwiOTk5OTk5OTkiLCIyNzAwMjE4MCIsIjVDQkgiLCJBODAwMDAwMCI="
"","１Ｂ型","１Ｂガタ","0","","27002205","0","IjAiLCJaIiwiODIwNiIsIiIsIiIsIjMiLCLvvJHvvKLlnosiLCIiLCI0Iiwi77yR77yi44Ks44K/IiwiIiwiMCIsIjAiLCIyMDE4MDEwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDIyMDUiLCI0REU1IiwiQTgwMDAwMDAi"
"","ＩＢ期","１Ｂキ","0","20170601","27002181","0","IjAiLCJaIiwiODE5MSIsIiIsIiIsIjMiLCLvvKnvvKLmnJ8iLCIiLCIzIiwi77yR77yi44KtIiwiIiwiMCIsIjAiLCIyMDE2MDYwMSIsIjIwMTcwNjAxIiwiOTk5OTk5OTkiLCIyNzAwMjE4MSIsIjU5M1YiLCJBODAwMDAwMCI="
"","１Ｃ型","１Ｃガタ","0","","27002206","0","IjAiLCJaIiwiODIwNyIsIiIsIiIsIjMiLCLvvJHvvKPlnosiLCIiLCI0Iiwi77yR77yj44Ks44K/IiwiIiwiMCIsIjAiLCIyMDE4MDEwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDIyMDYiLCI2TkNCIiwiQTgwMDAwMDAi"
"","ＩＣ期","１Ｃキ","0","20170601","27002182","0","IjAiLCJaIiwiODE5MiIsIiIsIiIsIjMiLCLvvKnvvKPmnJ8iLCIiLCIzIiwi77yR77yj44KtIiwiIiwiMCIsIjAiLCIyMDE2MDYwMSIsIjIwMTcwNjAxIiwiOTk5OTk5OTkiLCIyNzAwMjE4MiIsIjRNTjciLCJBODAwMDAwMCI="
